handle,display_name,followers
@ieeecloud,IEEE Cloud Computing,6050
@IEEEorg,IEEE,340200
@ieee_ras_crv,IEEE RAS TC for Computer & Robot Vision,764
@IEEEXplore,IEEE Xplore,220400
@ieee_ras_icra,IEEE ICRA,12800
@IEEESSP,IEEE S&P,9078
@JAutoSinica,IEEE/CAA Journal of Automatica Sinica,2710
@ieee_es,IEEE,47300
@IEEESpectrum,IEEE Spectrum,151700
@IEEEHOTI,IEEE Hot Interconnects,267
@IeeeTro,IEEE Transactions on Robotics (T-RO),1680
@ieeeras,IEEE RAS,11700
@ieeevis,IEEE VIS,9323
@IEEEIoT,IEEE Internet of Things Initiative,27800
@IEEEBrain,IEEE Brain,9172
@ComputerSociety,IEEE Computer Society,66600
@ieeesmartgrid,IEEE Smart Grid,22100
@ieeepesgm,IEEE Power & Energy Society General Meeting,501
@IEEEembs,IEEE Engineering Medicine and Biology Society,18200
@ieee_pes,IEEE Power & Energy Society,21800
@IEEEEUROSP,IEEE European Symposium on Security and Privacy,4123
@IEEEKFUPM,IEEE KFUPM Student Branch,2165
@ieeeICASSP,IEEE ICASSP,4757
@ieeecis,IEEE Computational Intelligence Society,2206
@IEEEFutureNtwks,IEEE Future Networks,4867
@IEEESA,IEEE Standards Association | IEEE SA,52600
@IEEEComputerSoc,IEEEComputerSocSCVchapter,11800
@ComSoc,IEEE ComSoc,37200
@CSSIEEE,IEEE Control Systems Society,3498
@IeeeTcmf,ieee-tcmf,208
@IEEEsps,IEEE Signal Processing Society,4618
@ieee_iedm,ieee iedm,5011
@IEEESpectrum,IEEE Spectrum,151700
@IEEEHOTI,IEEE Hot Interconnects,267
@IeeeTro,IEEE Transactions on Robotics (T-RO),1680
@ieeeras,IEEE RAS,11700
@ieeevis,IEEE VIS,9323
@IEEEIoT,IEEE Internet of Things Initiative,27800
@IEEEBrain,IEEE Brain,9172
@ComputerSociety,IEEE Computer Society,66600
@ieeesmartgrid,IEEE Smart Grid,22100
@ieeepesgm,IEEE Power & Energy Society General Meeting,501
@IEEEembs,IEEE Engineering Medicine and Biology Society,18200
@ieee_pes,IEEE Power & Energy Society,21800
@IEEEEUROSP,IEEE European Symposium on Security and Privacy,4123
@IEEEKFUPM,IEEE KFUPM Student Branch,2165
@ieeeICASSP,IEEE ICASSP,4757
