handle,display_name,followers
@CNN,CNN,61100000
@Google,Google,31600000
@Meta,Meta,9900000
@wef,World Economic Forum,4300000
@MIT,Massachusetts Institute of Technology (MIT),1300000
@UGMYogyakarta,UGM,1000000
@Cornell,Cornell University,403100
@IEEEorg,IEEE,340200
@KFUniversity,جامعة الملك فيصل,323700
@VMware,VMware,315100
@kkueduksa,جامعة الملك خالد,284400
@ASU,Arizona State University,281500
@IEEEXplore,IEEE Xplore,220400
@Toronto,T O R O N T O,209400
@Montreal,Montréal,194300
@NotreDame,University of Notre Dame,182500
@iitdelhi,IIT Delhi,156200
@IEEESpectrum,IEEE Spectrum,151700
@psau_edu_sa,جامعة الأمير سطّام,142800
@bgyo_ph,BGYO_PH,134000
@UofT,University of Toronto,127500
@ElsevierConnect,Elsevier,117500
@REjercitos,Revista Ejércitos,108100
@OfficialUoM,The University of Manchester,102200
@CarnegieMellon,Carnegie Mellon University,81000
@CSProfKGD,Kosta Derpanis (sabbatical in Munich),74600
@uspto,USPTO,73100
@TheOfficialACM,Association for Computing Machinery,72600
@ComputerSociety,IEEE Computer Society,66600
@cepa,CEPA,66400
@cetinkayakoc,Çetin Kaya Koç,65800
@NXP,NXP,59900
@LexisNexis,LexisNexis Legal & Professional,57700
@Law360,Law360,57000
@Northeastern,Northeastern University,54000
@IEEESA,IEEE Standards Association | IEEE SA,52600
@CVPR,#CVPR2026,50400
@ieee_es,IEEE,47300
@CambridgeUP,Cambridge University Press,46200
@dadbodsociety,x DBS x,40900
@ZabihullahAtal,Atal,39800
@pmuofficial,جامعة الأمير محمد بن فهد,39000
@ComSoc,IEEE ComSoc,37200
@Avaya,Avaya,36800
@TechRxiv_org,TechRxiv Preprint Server,32700
@ramgopal_rao,"V. Ramgopal Rao, Ph.D.",32200
@UniofGreenwich,Uni of Greenwich,31000
@IEEE_TA,IEEE Tech Activities,30100
@UT_Dallas,UT Dallas,29700
@IEEEIoT,IEEE Internet of Things Initiative,27800
